,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackle_W%,Dribblers_Tackle_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Tackles+Interceptions,Clearances,Errors_Shots,Matches
0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,12,6,7,5,0,5,10,50.0,5,5,0,5,8,20,9,0,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,48,24,35,11,2,24,40,60.0,16,33,9,24,40,88,91,2,Matches
2,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,34,19,16,13,5,14,22,63.6,8,19,6,13,18,52,50,0,Matches
3,Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,60,33,48,11,1,30,40,75.0,10,44,24,20,65,125,196,0,Matches
5,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,51,33,27,16,8,15,45,33.3,30,33,7,26,29,80,23,1,Matches
6,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18,2000,0.4,4,4,2,1,1,2,2,100.0,0,1,0,1,0,4,1,0,Matches
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,22,14,13,8,1,11,25,44.0,14,23,12,11,24,46,64,0,Matches
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,20,11,7,10,3,6,19,31.6,13,11,3,8,14,34,15,0,Matches
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,40,30,22,13,5,12,16,75.0,4,50,32,18,61,101,169,1,Matches
10,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,27,9,9,12,6,4,11,36.4,7,11,1,10,12,39,16,0,Matches
11,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,29,17,12,16,1,11,26,42.3,15,17,1,16,16,45,8,0,Matches
12,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
13,Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,7.2,9,8,2,5,2,6,7,85.7,1,1,0,1,7,16,17,1,Matches
14,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,31,22,20,11,0,16,28,57.1,12,26,11,15,31,62,101,0,Matches
15,Claud Adjapong,it ITA,"MF,FW",Sassuolo,it Serie A,20,1998,3.0,4,2,1,3,0,1,2,50.0,1,3,1,2,1,5,4,0,Matches
16,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,18,2000,2.4,7,2,2,3,2,3,9,33.3,6,3,0,3,2,9,0,0,Matches
