,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Shot_Creating_Action,Shot_Creating_Action_per90,Pass_Live_Shot,Pass_Dead_Shot,Take_Ons_Shot,Shot-Shot,Fouls_drawn_Shot,Defensive_Shot,Goal_Creating_Action,Goal_Creating_Action_90,Pass_Live_Goal,Pass_Dead_Goal,Take_Ons_Goal,Shot_Goal,Fouls_Drawn_Goal,Defensive_Goal,Matches
0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,3,1.32,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,86,2.42,67,8,2,7,2,0,6,0.17,4,1,0,1,0,0,Matches
2,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,23,1.59,23,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
3,Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,25,0.66,17,1,3,4,0,0,2,0.05,2,0,0,0,0,0,Matches
5,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,41,1.82,30,4,4,1,1,1,2,0.09,2,0,0,0,0,0,Matches
6,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18,2000,0.4,2,5.63,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,12,0.76,9,0,1,1,1,0,1,0.06,0,0,0,1,0,0,Matches
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,8,0.91,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,31,0.84,27,0,0,1,3,0,2,0.05,1,0,0,1,0,0,Matches
10,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,44,2.62,34,0,4,4,2,0,1,0.06,1,0,0,0,0,0,Matches
11,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,12,1.50,10,0,1,0,1,0,3,0.37,3,0,0,0,0,0,Matches
12,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
13,Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,7.2,28,3.91,18,6,1,2,1,0,2,0.28,2,0,0,0,0,0,Matches
14,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,11,0.50,8,0,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
15,Claud Adjapong,it ITA,"MF,FW",Sassuolo,it Serie A,20,1998,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
16,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,18,2000,2.4,10,4.17,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1993,1.8,8,4.34,4,2,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,19,1.81,14,0,0,3,2,0,1,0.10,1,0,0,0,0,0,Matches
19,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,50,1.88,33,4,5,1,7,0,11,0.41,6,0,2,0,3,0,Matches
20,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,22,0.97,21,0,1,0,0,0,1,0.04,1,0,0,0,0,0,Matches
21,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,8,0.69,5,1,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
22,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,91,3.33,60,1,11,10,7,2,19,0.70,14,0,2,2,1,0,Matches
23,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,1993,28.1,103,3.67,80,8,6,2,7,0,7,0.25,6,0,0,1,0,0,Matches
24,Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,6,1.57,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
25,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,2,1.12,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
