,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,Yellow,Red,xG,npxG,xAG,npxG+xAG,Prg_Carries,Prg_Passes,Prg_Passes_Received,Goals_per90,Assits_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Matches
0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,3,3,204,2.3,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.4,3,8,8,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,36,36,"3,195",35.5,3,2,5,3,0,0,3,0,2.6,2.6,4.4,7.0,89,212,106,0.08,0.06,0.14,0.08,0.14,0.07,0.12,0.20,0.07,0.20,Matches
2,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,19,15,"1,302",14.5,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.4,27,88,43,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
3,Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,38,"3,420",38.0,0,0,0,0,0,0,2,0,1.6,1.6,0.1,1.8,16,71,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05,Matches
5,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,26,23,"2,023",22.5,3,0,3,2,1,1,6,0,2.9,2.1,1.6,3.8,43,97,50,0.13,0.00,0.13,0.09,0.09,0.13,0.07,0.20,0.10,0.17,Matches
6,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.29,0.17,0.29,Matches
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,17,17,"1,420",15.8,0,0,0,0,0,0,2,0,0.8,0.8,0.4,1.1,20,80,7,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.07,0.05,0.07,Matches
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,10,9,790,8.8,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,6,19,9,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,37,37,"3,309",36.8,3,1,4,3,0,0,4,1,3.4,3.4,1.0,4.3,39,135,17,0.08,0.03,0.11,0.08,0.11,0.09,0.03,0.12,0.09,0.12,Matches
