,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackle_W%,Dribblers_Tackle_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Tackles+Interceptions,Clearances,Errors_Shots
0,0,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,64.0,44,49.0,15.0,0.0,37.0,55.0,67.3,18.0,39.0,19.0,20.0,28,92.0,96.0,1.0
1,1,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,48.0,27,34.0,14.0,0.0,16.0,32.0,50.0,16.0,50.0,25.0,25.0,68,116.0,104.0,0.0
2,2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,43.0,23,25.0,16.0,2.0,20.0,57.0,35.1,37.0,18.0,1.0,17.0,42,85.0,15.0,0.0
3,3,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,110.0,60,44.0,53.0,13.0,71.0,166.0,42.8,95.0,58.0,1.0,57.0,55,165.0,13.0,0.0
4,4,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0,0.0,0.0,0.0
5,5,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,11.0,7,4.0,5.0,2.0,2.0,10.0,20.0,8.0,12.0,1.0,11.0,4,15.0,8.0,0.0
6,6,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0,0.0,1.0,0.0
7,7,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,27.0,13,7.0,14.0,6.0,9.0,22.0,40.9,13.0,17.0,3.0,14.0,5,32.0,27.0,0.0
8,8,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,6.0,3,3.0,3.0,0.0,2.0,4.0,50.0,2.0,6.0,5.0,1.0,5,11.0,37.0,1.0
9,9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,25.0,12,15.0,9.0,1.0,12.0,19.0,63.2,7.0,37.0,28.0,9.0,34,59.0,92.0,0.0
10,10,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,de Bundesliga,23,1998,2.9,2.0,0,0.0,1.0,1.0,1.0,4.0,25.0,3.0,3.0,0.0,3.0,0,2.0,1.0,0.0
11,11,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
12,12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,50.0,29,27.0,14.0,9.0,30.0,46.0,65.2,16.0,22.0,5.0,17.0,14,64.0,25.0,1.0
13,13,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,13.0,6,5.0,5.0,3.0,2.0,16.0,12.5,14.0,18.0,2.0,16.0,8,21.0,18.0,0.0
14,14,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,23.0,7,5.0,16.0,2.0,7.0,25.0,28.0,18.0,24.0,1.0,23.0,16,39.0,19.0,2.0
15,15,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,28,1993,3.7,8.0,6,3.0,4.0,1.0,3.0,11.0,27.3,8.0,4.0,0.0,4.0,1,9.0,2.0,0.0
16,16,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,17,2003,3.9,15.0,11,5.0,8.0,2.0,8.0,16.0,50.0,8.0,0.0,0.0,0.0,11,26.0,6.0,0.0
17,17,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,21,2000,14.0,27.0,14,10.0,14.0,3.0,8.0,15.0,53.3,7.0,26.0,2.0,24.0,11,38.0,12.0,0.0
18,18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,2000,25.1,43.0,27,22.0,14.0,7.0,19.0,68.0,27.9,49.0,33.0,3.0,30.0,37,80.0,11.0,2.0
19,19,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,14.0,5,5.0,8.0,1.0,6.0,11.0,54.5,5.0,4.0,1.0,3.0,6,20.0,3.0,0.0
20,20,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,it Serie A,18,2003,7.4,10.0,3,1.0,6.0,3.0,4.0,7.0,57.1,3.0,4.0,0.0,4.0,3,13.0,0.0,0.0
21,21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18.0,34.0,22,17.0,11.0,6.0,18.0,37.0,48.6,19.0,20.0,3.0,17.0,25,59.0,38.0,0.0
22,23,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,51.0,31,24.0,20.0,7.0,23.0,45.0,51.1,22.0,30.0,9.0,21.0,52,103.0,27.0,1.0
23,24,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,22,1998,13.7,44.0,26,13.0,26.0,5.0,7.0,20.0,35.0,13.0,22.0,0.0,22.0,8,52.0,6.0,0.0
24,25,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,27.0,18,16.0,11.0,0.0,14.0,24.0,58.3,10.0,24.0,14.0,10.0,24,51.0,127.0,1.0
25,26,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,1.0,1,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0
26,27,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,78.0,53,39.0,32.0,7.0,43.0,68.0,63.2,25.0,19.0,4.0,15.0,44,122.0,57.0,0.0
27,28,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
28,29,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,de Bundesliga,19,2002,0.7,1.0,0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0
29,30,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,38.0,26,27.0,9.0,2.0,20.0,31.0,64.5,11.0,16.0,8.0,8.0,22,60.0,44.0,0.0
30,31,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,16.0,9,4.0,9.0,3.0,5.0,19.0,26.3,14.0,8.0,1.0,7.0,19,35.0,7.0,0.0
31,32,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,39.0,26,28.0,10.0,1.0,17.0,31.0,54.8,14.0,23.0,13.0,10.0,38,77.0,96.0,3.0
32,33,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,27.0,19,11.0,10.0,6.0,15.0,23.0,65.2,8.0,17.0,3.0,14.0,28,55.0,30.0,0.0
33,34,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,20,2001,20.3,64.0,36,46.0,15.0,3.0,22.0,44.0,50.0,22.0,24.0,2.0,22.0,22,86.0,39.0,1.0
34,35,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,29.0,18,21.0,6.0,2.0,13.0,21.0,61.9,8.0,19.0,11.0,8.0,26,55.0,74.0,0.0
35,36,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,27,1994,30.4,36.0,25,5.0,19.0,12.0,7.0,40.0,17.5,33.0,28.0,3.0,25.0,8,44.0,31.0,1.0
36,37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,33.0,23,20.0,11.0,2.0,22.0,32.0,68.8,10.0,26.0,15.0,11.0,35,68.0,58.0,0.0
37,38,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,43.0,31,26.0,15.0,2.0,21.0,37.0,56.8,16.0,26.0,7.0,19.0,51,94.0,61.0,0.0
38,39,Marley Aké,fr FRA,"FW,MF",Juventus,it Serie A,20,2001,0.9,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1,1.0,0.0,0.0
39,40,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,16.0,9,7.0,8.0,1.0,6.0,8.0,75.0,2.0,7.0,5.0,2.0,8,24.0,23.0,0.0
40,41,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,2.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0
41,42,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,19,2002,0.6,2.0,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0,2.0,0.0,0.0
42,43,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,14.0,9,5.0,7.0,2.0,8.0,12.0,66.7,4.0,6.0,0.0,6.0,11,25.0,6.0,0.0
43,44,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,17.0,10,7.0,9.0,1.0,7.0,12.0,58.3,5.0,4.0,2.0,2.0,2,19.0,6.0,0.0
44,45,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,de Bundesliga,26,1995,17.0,33.0,19,16.0,11.0,6.0,16.0,28.0,57.1,12.0,32.0,2.0,30.0,20,53.0,29.0,2.0
45,46,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,23.0,13,15.0,6.0,2.0,9.0,19.0,47.4,10.0,26.0,15.0,11.0,22,45.0,70.0,1.0
46,47,Sofiane Alakouch,ma MAR,"DF,MF",Metz,fr Ligue 1,23,1998,1.8,7.0,4,3.0,4.0,0.0,2.0,5.0,40.0,3.0,4.0,0.0,4.0,1,8.0,4.0,0.0
47,48,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,31.0,20,17.0,10.0,4.0,10.0,31.0,32.3,21.0,19.0,7.0,12.0,30,61.0,31.0,0.0
48,49,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,6.0,5,0.0,2.0,4.0,2.0,5.0,40.0,3.0,5.0,0.0,5.0,1,7.0,6.0,0.0
49,50,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,47.0,34,12.0,26.0,9.0,27.0,47.0,57.4,20.0,26.0,6.0,20.0,33,80.0,41.0,1.0
50,51,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,2.0,0.0
51,52,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,29.0,17,8.0,11.0,10.0,8.0,52.0,15.4,44.0,32.0,4.0,28.0,13,42.0,7.0,0.0
52,53,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,26.0,15,20.0,5.0,1.0,14.0,18.0,77.8,4.0,24.0,15.0,9.0,21,47.0,126.0,1.0
53,54,Marc Albrighton,eng ENG,"FW,DF",Leicester City,eng Premier League,31,1989,12.6,31.0,19,16.0,9.0,6.0,10.0,47.0,21.3,37.0,15.0,3.0,12.0,14,45.0,20.0,0.0
54,55,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,9.0,3,2.0,4.0,3.0,1.0,5.0,20.0,4.0,7.0,0.0,7.0,6,15.0,1.0,0.0
55,56,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,17.0,48.0,29,14.0,24.0,10.0,10.0,42.0,23.8,32.0,22.0,2.0,20.0,26,74.0,13.0,2.0
