,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackle_W%,Dribblers_Tackle_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Tackles+Interceptions,Clearances,Errors_Shots,Matches
0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,35,22,18,17,0,19,43,44.2,24,18,6,12,30,65,40,2,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,59,37,36,23,0,26,42,61.9,16,34,15,19,61,120,132,0,Matches
3,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,2,0,1,1,0,1,3,33.3,2,0,0,0,0,2,0,0,Matches
4,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,34,19,16,14,4,15,30,50.0,15,9,2,7,20,54,10,0,Matches
5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,145,84,64,69,12,54,162,33.3,108,64,6,58,46,191,12,0,Matches
6,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,10.1,8,2,5,0,3,3,12,25.0,9,6,2,4,4,12,5,0,Matches
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
8,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,15,13,10,5,0,6,10,60.0,4,7,4,3,27,42,87,0,Matches
9,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,18,12,13,3,2,11,17,64.7,6,13,4,9,17,35,34,0,Matches
10,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,7,5,3,3,1,1,7,14.3,6,6,0,6,5,12,17,0,Matches
11,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,1990,0.7,1,1,1,0,0,0,0,,0,1,1,0,2,3,1,0,Matches
12,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,4.9,6,4,1,4,1,2,7,28.6,5,4,1,3,4,10,4,0,Matches
13,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,51,32,34,13,4,18,40,45.0,22,24,15,9,76,127,121,2,Matches
14,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,2,0,0,1,1,0,0,,0,1,0,1,1,3,1,0,Matches
15,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,62,42,34,20,8,23,41,56.1,18,23,2,21,23,85,30,1,Matches
16,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,25,16,4,15,6,6,17,35.3,11,20,2,18,4,29,19,1,Matches
17,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,1999,20.6,35,24,12,15,8,17,31,54.8,14,22,5,17,29,64,30,0,Matches
18,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,1993,5.3,9,4,4,3,2,7,14,50.0,7,2,0,2,6,15,1,0,Matches
19,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,37,19,30,6,1,19,40,47.5,21,26,20,6,42,79,197,2,Matches
20,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,1999,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
21,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,74,37,30,33,11,35,92,38.0,57,27,2,25,39,113,17,2,Matches
22,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
23,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
24,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,17.3,32,18,17,12,3,17,33,51.5,16,9,3,6,27,59,36,0,Matches
25,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,18,10,11,7,0,6,19,31.6,13,10,5,5,15,33,10,0,Matches
26,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,20,9,10,9,1,10,18,55.6,8,14,3,11,12,32,18,0,Matches
27,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,39,28,9,15,15,12,34,35.3,22,30,0,30,10,49,2,0,Matches
28,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,37,30,28,9,0,21,33,63.6,12,34,22,12,47,84,102,0,Matches
29,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,1988,6.2,4,1,0,2,2,2,11,18.2,9,2,0,2,2,6,0,0,Matches
30,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,1993,24.7,63,37,32,21,10,32,52,61.5,20,30,3,27,47,110,43,1,Matches
31,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,4,1,3,1,0,1,1,100.0,0,2,0,2,1,5,1,0,Matches
32,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10.0,26,20,10,14,2,11,39,28.2,28,6,0,6,2,28,8,0,Matches
33,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,23.8,46,25,18,25,3,19,48,39.6,29,17,5,12,53,99,32,0,Matches
34,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,1,0,0,1,0,1,3,33.3,2,0,0,0,1,2,1,0,Matches
35,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,26,17,17,9,0,12,21,57.1,9,7,4,3,25,51,88,1,Matches
36,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,37,20,22,7,8,21,43,48.8,22,22,6,16,45,82,94,2,Matches
37,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,19,2001,15.6,29,16,18,10,1,13,27,48.1,14,14,1,13,15,44,25,0,Matches
38,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,19,2001,2.1,3,2,1,2,0,3,5,60.0,2,2,1,1,4,7,1,0,Matches
39,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,40,14,34,6,0,23,41,56.1,18,51,32,19,42,82,122,2,Matches
40,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,26,1994,33.0,30,18,6,18,6,7,31,22.6,24,14,5,9,11,41,54,0,Matches
41,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,41,22,23,12,6,19,31,61.3,12,23,10,13,49,90,70,1,Matches
